# File Starting Date: 26 04 2020 TIME 16:09:25.3
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-F-H2O2/option1
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-F-H2O2/option1/CeO2-02.out
# TOLDEE: 6
# MAXCYCLE: 1024
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_G.(0.00045) | RMS_G.(0.00030) | MAX_D.(0.00180) | RMS_D.(0.00120) | TRUST_R.(4.00000)
 	 1 	 -17736.9759539970 	 6	 0.008776 NO	 0.002032 NO	 0.000000 	 0.000000 	           0.000
 	 2 	 -17736.9776790290 	 9	 0.009034 NO	 0.002059 NO	 0.221618 NO	 0.030600 NO	           0.500
 	 3 	 -17736.9792702160 	 9	 0.017167 NO	 0.002295 NO	 0.190942 NO	 0.030600 NO	           0.500
 	 4 	 -17736.9805666870 	 9	 0.024032 NO	 0.002743 NO	 0.143395 NO	 0.030600 NO	           0.500
 	 5 	 -17736.9808682090 	 10	 0.032100 NO	 0.003578 NO	 0.035041 NO	 0.007650 NO	           0.125
 	 6 	 -17736.9818164930 	 8	 0.029449 NO	 0.003335 NO	 0.074265 NO	 0.015300 NO	           0.250
 	 7 	 -17736.9835425630 	 9	 0.021688 NO	 0.002547 NO	 0.181941 NO	 0.030600 NO	           0.500
 	 8 	 -17736.9853512810 	 9	 0.010964 NO	 0.001932 NO	 0.179443 NO	 0.030600 NO	           0.500
 	 9 	 -17736.9869436570 	 9	 0.011915 NO	 0.001822 NO	 0.343097 NO	 0.061199 NO	           1.000
 	 10 	 -17736.9886932650 	 9	 0.010401 NO	 0.001979 NO	 0.294292 NO	 0.061199 NO	           1.000
 	 11 	 -17736.9878744230 	 10	 0.018060 NO	 0.003023 NO	 0.397432 NO	 0.061199 NO	           0.000
 	 12 	 -17736.9887645610 	 10	 0.011933 NO	 0.002262 NO	 0.079214 NO	 0.015300 NO	           0.250
 	 13 	 -17736.9902604890 	 8	 0.008889 NO	 0.002093 NO	 0.210471 NO	 0.030600 NO	           0.500
 	 14 	 -17736.9928855300 	 9	 0.010294 NO	 0.001959 NO	 0.231597 NO	 0.030600 NO	           0.500
 	 15 	 -17736.9949357900 	 8	 0.008188 NO	 0.002046 NO	 0.474508 NO	 0.061199 NO	           1.000
 	 16 	 -17736.9966964070 	 10	 0.014780 NO	 0.003070 NO	 0.337794 NO	 0.061199 NO	           1.000
xxx 	 17 	 -17736.9949459040 	 11	 0.014780 NO	 0.003070 NO	 0.093554 NO	 0.015300 NO	           0.250
 	 18 	 -17736.9980843710 	 8	 0.011556 NO	 0.002467 NO	 0.099887 NO	 0.015300 NO	           0.250
 	 19 	 -17736.9993673210 	 7	 0.011240 NO	 0.002136 NO	 0.271775 NO	 0.030600 NO	           0.500
 	 20 	 -17737.0009680570 	 8	 0.013570 NO	 0.002168 NO	 0.302629 NO	 0.061199 NO	           1.000
 	 21 	 -17737.0017500310 	 10	 0.014797 NO	 0.003076 NO	 0.313572 NO	 0.061199 NO	           0.000
 	 22 	 -17737.0024127950 	 11	 0.028819 NO	 0.004087 NO	 0.090637 NO	 0.015300 NO	           0.250
 	 23 	 -17737.0045125730 	 7	 0.023815 NO	 0.003309 NO	 0.233172 NO	 0.030600 NO	           0.500
 	 24 	 -17737.0064613930 	 10	 0.014113 NO	 0.002220 NO	 0.145747 NO	 0.030600 NO	           0.500
 	 25 	 -17737.0070844050 	 8	 0.014693 NO	 0.002451 NO	 0.152090 NO	 0.030600 NO	           0.500
 	 26 	 -17737.0090555600 	 9	 0.008905 NO	 0.001805 NO	 0.151642 NO	 0.030600 NO	           0.500
 	 27 	 -17737.0099930590 	 8	 0.007948 NO	 0.001630 NO	 0.206215 NO	 0.030600 NO	           0.500
 	 28 	 -17737.0108767860 	 8	 0.014921 NO	 0.002020 NO	 0.187388 NO	 0.030600 NO	           0.500
 	 29 	 -17737.0116451870 	 8	 0.010589 NO	 0.001937 NO	 0.137768 NO	 0.030600 NO	           0.500
 	 30 	 -17737.0126343400 	 8	 0.015220 NO	 0.001988 NO	 0.134302 NO	 0.030600 NO	           0.500
 	 31 	 -17737.0127897940 	 9	 0.013305 NO	 0.001847 NO	 0.041027 NO	 0.007650 NO	           0.125
 	 32 	 -17737.0134396970 	 7	 0.006574 NO	 0.001387 NO	 0.094179 NO	 0.015300 NO	           0.250
 	 33 	 -17737.0141963020 	 8	 0.005323 NO	 0.000913 NO	 0.068304 NO	 0.015300 NO	           0.250
 	 34 	 -17737.0144536410 	 8	 0.006039 NO	 0.000874 NO	 0.087027 NO	 0.015300 NO	           0.250
 	 35 	 -17737.0147272290 	 7	 0.005387 NO	 0.000882 NO	 0.105574 NO	 0.015300 NO	           0.250
 	 36 	 -17737.0150089020 	 9	 0.006757 NO	 0.001116 NO	 0.112919 NO	 0.015300 NO	           0.250
