# File Starting Date: 07 06 2020 TIME 21:44:35.3
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-F-H2O2/option1/1Ce3+
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-F-H2O2/option1/1Ce3+/CeO2-03.out
# TOLDEE: 5
# LEVSHIFT USED
# MAXCYCLE: 1024
# FMIXING: 85
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_G.(0.00045) | RMS_G.(0.00030) | MAX_D.(0.00180) | RMS_D.(0.00120) | TRUST_R.(4.00000)
 	 1 	 -17736.6923373070 	 9	 0.013865 NO	 0.002119 NO	 0.000000 	 0.000000 	           0.000
xxx 	 2 	 -17736.6923092450 	 41	 0.013865 NO	 0.002119 NO	 0.038762 NO	 0.007650 NO	           0.125
 	 3 	 -17736.6933017670 	 14	 0.010160 NO	 0.001653 NO	 0.111536 NO	 0.015300 NO	           0.250
 	 4 	 -17736.6936520810 	 15	 0.006043 NO	 0.001403 NO	 0.075718 NO	 0.015300 NO	           0.250
 	 5 	 -17736.6942791450 	 21	 0.003849 NO	 0.000882 NO	 0.095513 NO	 0.015300 NO	           0.250
 	 6 	 -17736.6943184210 	 7	 0.004791 NO	 0.000950 NO	 0.024816 NO	 0.003825 NO	           0.062
 	 7 	 -17736.6945916590 	 5	 0.004515 NO	 0.000891 NO	 0.043395 NO	 0.007650 NO	           0.125
 	 8 	 -17736.6950436300 	 9	 0.003527 NO	 0.000657 NO	 0.041624 NO	 0.007650 NO	           0.125
xxx 	 9 	 -17736.6949679980 	 16	 0.003527 NO	 0.000657 NO	 0.010273 NO	 0.001912 NO	           0.031
xxx 	 10 	 -17736.6950111960 	 22	 0.003527 NO	 0.000657 NO	 0.002649 NO	 0.000478 YES	           0.008
xxx 	 11 	 -17736.6949978760 	 15	 0.003527 NO	 0.000657 NO	 0.000571 YES	 0.000120 YES	           0.002
 	 12 	 -17736.6951059400 	 17	 0.003794 NO	 0.000809 NO	 0.001387 YES	 0.000239 YES	           0.004
xxx 	 13 	 -17736.6950206490 	 22	 0.003794 NO	 0.000809 NO	 0.000333 YES	 0.000060 YES	           0.001
xxx 	 14 	 -17736.6951044300 	 15	 0.003794 NO	 0.000809 NO	 0.000080 YES	 0.000015 YES	           0.000
xxx 	 15 	 -17736.6943746580 	 9	 0.003794 NO	 0.000809 NO	 0.000018 YES	 0.000004 YES	           0.000
xxx 	 16 	 -17736.6950346490 	 64	 0.003794 NO	 0.000809 NO	 0.000004 YES	 0.000001 YES	           0.000
 	 17 	 -17736.6951246520 	 9	 0.003768 NO	 0.000754 NO	 0.000009 YES	 0.000002 YES	           0.000
xxx 	 18 	 -17736.6951020930 	 46	 0.003768 NO	 0.000754 NO	 0.000307 YES	 0.000061 YES	           0.000
 	 19 	 -17736.6938466540 	 9	 0.003298 NO	 0.000640 NO	 0.000312 YES	 0.000061 YES	           0.000
xxx 	 20 	 -17736.6934862320 	 16	 0.003298 NO	 0.000640 NO	 0.000077 YES	 0.000015 YES	           0.000
xxx 	 21 	 -17736.6936391340 	 22	 0.003298 NO	 0.000640 NO	 0.000018 YES	 0.000004 YES	           0.000
xxx 	 22 	 -17736.6937208270 	 15	 0.003298 NO	 0.000640 NO	 0.000005 YES	 0.000001 YES	           0.000
# Done!
