# Starting Date: Mon Jan 20 17:41:56 AEDT 2020
# Termination Date: Mon Jan 20 17:42:10 AEDT 2020
# Time Used: 00:13
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-F-O2-/option1
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-F-O2-/option1/CeO2-07.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 1 	 -17733.9304532350 	 22	 	 0.002923 NO	 	 0.000727 NO	 	 0.000000 	 	 0.000000 	           0.000
xxx 	 2 	 -17735.4093288070 	 10	 	 0.002923 NO	 	 0.000727 NO	 	 0.063063 NO	 	 0.007737 NO	           0.125
 	 3 	 -17735.4107737580 	 11	 	 0.002863 NO	 	 0.000597 NO	 	 0.046004 NO	 	 0.007737 NO	           0.125
 	 4 	 -17735.4107864250 	 11	 	 0.002481 NO	 	 0.000426 NO	 	 0.010306 NO	 	 0.001934 NO	           0.031
xxx 	 5 	 -17735.4107224900 	 20	 	 0.002481 NO	 	 0.000426 NO	 	 0.002334 NO	 	 0.000484 YES	           0.008
xxx 	 6 	 -17735.4107264010 	 18	 	 0.002481 NO	 	 0.000426 NO	 	 0.000666 YES	 	 0.000121 YES	           0.002
xxx 	 7 	 -17735.4106776890 	 23	 	 0.002481 NO	 	 0.000426 NO	 	 0.000198 YES	 	 0.000030 YES	           0.000
xxx 	 8 	 -17735.4106978210 	 21	 	 0.002481 NO	 	 0.000426 NO	 	 0.000052 YES	 	 0.000008 YES	           0.000
xxx 	 9 	 -17735.4106917190 	 23	 	 0.002481 NO	 	 0.000426 NO	 	 0.000012 YES	 	 0.000002 YES	           0.000
xxx 	 10 	 -17735.4107070300 	 21	 	 0.002481 NO	 	 0.000426 NO	 	 0.000372 YES	 	 0.000062 YES	           0.000
 	 11 	 -17735.4105897190 	 22	 	 0.003481 NO	 	 0.000740 NO	 	 0.000316 YES	 	 0.000062 YES	           0.000
 	 12 	 -17735.4106071040 	 21	 	 0.002242 NO	 	 0.000456 NO	 	 0.000885 YES	 	 0.000124 YES	           0.002
xxx 	 13 	 -17735.4106034300 	 22	 	 0.002242 NO	 	 0.000456 NO	 	 0.000231 YES	 	 0.000031 YES	           0.000
 	 14 	 -17735.4106128320 	 21	 	 0.002231 NO	 	 0.000454 NO	 	 0.000432 YES	 	 0.000062 YES	           0.001
xxx 	 15 	 -17735.4106091900 	 22	 	 0.002231 NO	 	 0.000454 NO	 	 0.000100 YES	 	 0.000015 YES	           0.000
 	 16 	 -17735.4106249430 	 22	 	 0.002204 NO	 	 0.000448 NO	 	 0.000158 YES	 	 0.000031 YES	           0.000
xxx 	 17 	 -17735.4106168440 	 21	 	 0.002204 NO	 	 0.000448 NO	 	 0.000041 YES	 	 0.000008 YES	           0.000
 	 18 	 -17735.4106281360 	 22	 	 0.002199 NO	 	 0.000447 NO	 	 0.000091 YES	 	 0.000015 YES	           0.000
xxx 	 19 	 -17735.4106203240 	 21	 	 0.002199 NO	 	 0.000447 NO	 	 0.000024 YES	 	 0.000004 YES	           0.000
 	 20 	 -17735.4106315170 	 22	 	 0.002194 NO	 	 0.000447 NO	 	 0.000047 YES	 	 0.000008 YES	           0.000
 	 21 	 -17735.4106329340 	 22	 	 0.003419 NO	 	 0.000732 NO	 	 0.000092 YES	 	 0.000015 YES	           0.000
 	 22 	 -17735.4106406420 	 21	 	 0.002162 NO	 	 0.000439 NO	 	 0.000178 YES	 	 0.000031 YES	           0.000
xxx 	 23 	 -17735.4106402210 	 22	 	 0.002162 NO	 	 0.000439 NO	 	 0.000048 YES	 	 0.000008 YES	           0.000
 	 24 	 -17735.4106451850 	 21	 	 0.002152 NO	 	 0.000436 NO	 	 0.000092 YES	 	 0.000015 YES	           0.000
xxx 	 25 	 -17735.4106439990 	 22	 	 0.002152 NO	 	 0.000436 NO	 	 0.000022 YES	 	 0.000004 YES	           0.000
 	 26 	 -17735.4106489850 	 21	 	 0.002147 NO	 	 0.000436 NO	 	 0.000050 YES	 	 0.000008 YES	           0.000
# Done!
