# File Starting Date: 23 01 2020 TIME 14:01:56.0
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-F-O2-/option2
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-F-O2-/option2/CeO2-09.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 32 	 -17735.3953241450 	 8	 	 0.001297 NO	 	 0.000272 YES	 	 0.012389 NO	 	 0.001934 NO	           0.031
 	 33 	 -17735.3953543100 	 10	 	 0.001156 NO	 	 0.000245 YES	 	 0.030608 NO	 	 0.003869 NO	           0.062
 	 34 	 -17735.3954366300 	 15	 	 0.001389 NO	 	 0.000236 YES	 	 0.063789 NO	 	 0.007737 NO	           0.125
 	 35 	 -17735.3956237610 	 18	 	 0.001970 NO	 	 0.000349 NO	 	 0.123964 NO	 	 0.015475 NO	           0.250
xxx 	 36 	 -17735.3953623820 	 34	 	 0.001970 NO	 	 0.000349 NO	 	 0.027366 NO	 	 0.003869 NO	           0.062
 	 37 	 -17735.3957981620 	 46	 	 0.002124 NO	 	 0.000457 NO	 	 0.045000 NO	 	 0.007737 NO	           0.125
xxx 	 38 	 -17735.3953403630 	 20	 	 0.002124 NO	 	 0.000457 NO	 	 0.009976 NO	 	 0.001934 NO	           0.031
xxx 	 39 	 -17735.3953026860 	 17	 	 0.002124 NO	 	 0.000457 NO	 	 0.002695 NO	 	 0.000484 YES	           0.008
xxx 	 40 	 -17735.3952657650 	 14	 	 0.002124 NO	 	 0.000457 NO	 	 0.000683 YES	 	 0.000121 YES	           0.002
 	 41 	 -17735.3958142880 	 13	 	 0.002067 NO	 	 0.000457 NO	 	 0.001242 YES	 	 0.000242 YES	           0.004
xxx 	 42 	 -17735.3952654870 	 8	 	 0.002067 NO	 	 0.000457 NO	 	 0.000307 YES	 	 0.000060 YES	           0.001
 	 43 	 -17735.3958237960 	 19	 	 0.002001 NO	 	 0.000454 NO	 	 0.000551 YES	 	 0.000121 YES	           0.002
xxx 	 44 	 -17735.3952712610 	 8	 	 0.002001 NO	 	 0.000454 NO	 	 0.000137 YES	 	 0.000030 YES	           0.000
xxx 	 45 	 -17735.3952684610 	 9	 	 0.002001 NO	 	 0.000454 NO	 	 0.000037 YES	 	 0.000008 YES	           0.000
# Done!
