# Starting Date: Thu Jan  9 13:35:36 AEDT 2020
# Termination Date: Thu Jan  9 13:35:39 AEDT 2020
# Time Used: 00:03
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-UF-H2O2/option2
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-UF-H2O2/option2/CeO2-01.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 1 	 -17734.9139121840 	 547	 	 0.055589 NO	 	 0.010523 NO	 	 0.000000 	 	 0.000000 	           0.000
 	 2 	 -17736.4123579370 	 12	 	 0.049543 NO	 	 0.009458 NO	 	 0.285846 NO	 	 0.061199 NO	           1.000
 	 3 	 -17736.4421641430 	 28	 	 0.043240 NO	 	 0.006995 NO	 	 0.490258 NO	 	 0.061199 NO	           1.000
 	 4 	 -17736.4535373600 	 25	 	 0.023660 NO	 	 0.004949 NO	 	 0.380041 NO	 	 0.061199 NO	           1.000
 	 5 	 -17736.4670602290 	 25	 	 0.044835 NO	 	 0.006675 NO	 	 0.350757 NO	 	 0.061199 NO	           1.000
 	 6 	 -17736.4719015550 	 33	 	 0.044609 NO	 	 0.005906 NO	 	 0.423887 NO	 	 0.061199 NO	           1.000
 	 7 	 -17736.4744056340 	 31	 	 0.035224 NO	 	 0.006607 NO	 	 0.152304 NO	 	 0.015300 NO	           0.250
 	 8 	 -17736.4811611000 	 22	 	 0.031357 NO	 	 0.005467 NO	 	 0.154969 NO	 	 0.030600 NO	           0.500
 	 9 	 -17736.4876057260 	 12	 	 0.013962 NO	 	 0.003096 NO	 	 0.201466 NO	 	 0.030600 NO	           0.500
 	 10 	 -17736.4915144190 	 24	 	 0.030704 NO	 	 0.004048 NO	 	 0.160516 NO	 	 0.030600 NO	           0.500
 	 11 	 -17736.4985527790 	 37	 	 0.022588 NO	 	 0.004148 NO	 	 0.176355 NO	 	 0.030600 NO	           0.000
 	 12 	 -17736.4999699880 	 19	 	 0.030363 NO	 	 0.004811 NO	 	 0.040833 NO	 	 0.007650 NO	           0.125
 	 13 	 -17736.5029426020 	 12	 	 0.026429 NO	 	 0.003594 NO	 	 0.073154 NO	 	 0.015300 NO	           0.250
 	 14 	 -17736.5065457390 	 11	 	 0.011848 NO	 	 0.002369 NO	 	 0.094680 NO	 	 0.015300 NO	           0.250
 	 15 	 -17736.5092370140 	 24	 	 0.011746 NO	 	 0.002058 NO	 	 0.194403 NO	 	 0.030600 NO	           0.500
 	 16 	 -17736.5114023880 	 14	 	 0.016169 NO	 	 0.002737 NO	 	 0.208112 NO	 	 0.030600 NO	           0.500
 	 17 	 -17736.5165998600 	 137	 	 0.018152 NO	 	 0.002436 NO	 	 0.394489 NO	 	 0.061199 NO	           1.000
xxx 	 18 	 -17736.5135819860 	 49	 	 0.018152 NO	 	 0.002436 NO	 	 0.087982 NO	 	 0.015300 NO	           0.250
 	 19 	 -17736.5189680660 	 24	 	 0.020805 NO	 	 0.002568 NO	 	 0.117704 NO	 	 0.015300 NO	           0.250
 	 20 	 -17736.5214827360 	 10	 	 0.015196 NO	 	 0.001864 NO	 	 0.212113 NO	 	 0.030600 NO	           0.500
 	 21 	 -17736.5241942400 	 25	 	 0.026504 NO	 	 0.002703 NO	 	 0.232448 NO	 	 0.030600 NO	           0.500
 	 22 	 -17736.5291763210 	 46	 	 0.011416 NO	 	 0.002015 NO	 	 0.192872 NO	 	 0.030600 NO	           0.000
 	 23 	 -17736.5312165980 	 10	 	 0.024810 NO	 	 0.002864 NO	 	 0.263983 NO	 	 0.030600 NO	           0.500
 	 24 	 -17736.5336784800 	 26	 	 0.008977 NO	 	 0.002313 NO	 	 0.185954 NO	 	 0.030600 NO	           0.500
 	 25 	 -17736.5338533810 	 27	 	 0.031691 NO	 	 0.003818 NO	 	 0.062615 NO	 	 0.007650 NO	           0.125
# Done!
