# File Starting Date: 05 04 2020 TIME 08:43:59.7
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-UF-H2O2/option2
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-UF-H2O2/option2/CeO2-09.out
# NOTRUSTR
# TOLDEE: 5
# MAXCYCLE: 1024
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_G.(0.00045) | RMS_G.(0.00030) | MAX_D.(0.00180) | RMS_D.(0.00120) | TRUST_R.(N/A)
 	 162 	 -17736.6843370650 	 6	 0.002308 NO	 0.000770 NO	 0.056590 NO	 0.013617 NO	           0.000
 	 163 	 -17736.6848299460 	 12	 0.002787 NO	 0.000504 NO	 0.015210 NO	 0.004264 NO	           0.000
 	 164 	 -17736.6849298130 	 7	 0.000910 NO	 0.000241 YES	 0.007667 NO	 0.002002 NO	           0.000
 	 165 	 -17736.6849117430 	 7	 0.001415 NO	 0.000225 YES	 0.082843 NO	 0.020223 NO	           0.000
 	 166 	 -17736.6842161360 	 7	 0.003848 NO	 0.001220 NO	 0.070482 NO	 0.017410 NO	           0.000
 	 167 	 -17736.6849554750 	 7	 0.002307 NO	 0.000425 NO	 0.022475 NO	 0.003482 NO	           0.000
 	 168 	 -17736.6850218570 	 7	 0.001226 NO	 0.000329 NO	 0.004865 NO	 0.000979 YES	           0.000
 	 169 	 -17736.6850492590 	 6	 0.001159 NO	 0.000317 NO	 0.021171 NO	 0.005743 NO	           0.000
 	 170 	 -17736.6850382020 	 6	 0.001558 NO	 0.000417 NO	 0.012076 NO	 0.003257 NO	           0.000
 	 171 	 -17736.6850996140 	 6	 0.001069 NO	 0.000200 YES	 0.003184 NO	 0.000891 YES	           0.000
 	 172 	 -17736.6851136830 	 6	 0.001135 NO	 0.000191 YES	 0.001882 NO	 0.000555 YES	           0.000
 	 173 	 -17736.6851233870 	 5	 0.001083 NO	 0.000173 YES	 0.002062 NO	 0.000521 YES	           0.000
 	 174 	 -17736.6851313860 	 3	 0.000962 NO	 0.000161 YES	 0.039706 NO	 0.009228 NO	           0.000
 	 175 	 -17736.6849558550 	 6	 0.002024 NO	 0.000669 NO	 0.037408 NO	 0.008687 NO	           0.000
 	 176 	 -17736.6851312050 	 6	 0.000919 NO	 0.000218 YES	 0.007065 NO	 0.001430 NO	           0.000
 	 177 	 -17736.6851400680 	 3	 0.000844 NO	 0.000139 YES	 0.001751 YES	 0.000446 YES	           0.000
 	 178 	 -17736.6851401460 	 6	 0.001027 NO	 0.000161 YES	 0.003638 NO	 0.001009 YES	           0.000
 	 179 	 -17736.6851443640 	 5	 0.001021 NO	 0.000163 YES	 0.001045 YES	 0.000257 YES	           0.000
 	 180 	 -17736.6851483290 	 3	 0.000909 NO	 0.000142 YES	 0.003274 NO	 0.000822 YES	           0.000
 	 181 	 -17736.6851492140 	 3	 0.001016 NO	 0.000163 YES	 0.001158 YES	 0.000293 YES	           0.000
 	 182 	 -17736.6851452830 	 6	 0.000496 NO	 0.000083 YES	 0.001794 YES	 0.000360 YES	           0.000
 	 183 	 -17736.6851529150 	 4	 0.000741 NO	 0.000116 YES	 0.001564 YES	 0.000332 YES	           0.000
 	 184 	 -17736.6851550020 	 4	 0.000789 NO	 0.000124 YES	 0.002160 NO	 0.000560 YES	           0.000
