# File Starting Date: 04 05 2020 TIME 08:23:03.7
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-UF-H2O2/option3
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-UF-H2O2/option3/CeO2-06.out
# TOLDEE: 4
# LEVSHIFT USED
# MAXCYCLE: 1024
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_G.(0.00045) | RMS_G.(0.00030) | MAX_D.(0.00180) | RMS_D.(0.00120) | TRUST_R.(4.00000)
 	 1 	 -17736.7069810180 	 79	 0.032636 NO	 0.006082 NO	 0.000000 	 0.000000 	           0.000
xxx 	 2 	 -17736.7046182750 	 24	 0.032636 NO	 0.006082 NO	 0.060373 NO	 0.007650 NO	           0.125
xxx 	 3 	 -17736.6969113140 	 26	 0.032636 NO	 0.006082 NO	 0.016441 NO	 0.001912 NO	           0.031
 	 4 	 -17736.7090244110 	 14	 0.032210 NO	 0.005789 NO	 0.023313 NO	 0.003825 NO	           0.062
xxx 	 5 	 -17736.7007624950 	 21	 0.032210 NO	 0.005789 NO	 0.006111 NO	 0.000956 YES	           0.016
 	 6 	 -17736.7097756520 	 14	 0.031179 NO	 0.005604 NO	 0.013375 NO	 0.001912 NO	           0.031
xxx 	 7 	 -17736.7011848060 	 21	 0.031179 NO	 0.005604 NO	 0.003642 NO	 0.000478 YES	           0.008
xxx 	 8 	 -17736.6953597860 	 23	 0.031179 NO	 0.005604 NO	 0.000869 YES	 0.000120 YES	           0.002
xxx 	 9 	 -17736.6986736980 	 25	 0.031179 NO	 0.005604 NO	 0.000155 YES	 0.000030 YES	           0.000
xxx 	 10 	 -17736.6949778070 	 23	 0.031179 NO	 0.005604 NO	 0.000041 YES	 0.000007 YES	           0.000
xxx 	 11 	 -17736.6985256700 	 25	 0.031179 NO	 0.005604 NO	 0.000010 YES	 0.000002 YES	           0.000
xxx 	 12 	 -17736.6949188430 	 23	 0.031179 NO	 0.005604 NO	 0.000388 YES	 0.000061 YES	           0.000
# Done!
