# File Starting Date: 14 05 2020 TIME 09:24:05.5
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-UF-H2O2/option3
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/H3O+-OV-UF-H2O2/option3/CeO2-13.out
# NOTRUSTR USED
# TOLDEE: 5
# LEVSHIFT USED
# MAXCYCLE: 1024
# FMIXING: 75
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_G.(0.00045) | RMS_G.(0.00030) | MAX_D.(0.00180) | RMS_D.(0.00120) | TRUST_R.(N/A)
 	 1 	 -17736.7299356500 	 81	 0.012773 NO	 0.001596 NO	 0.000000 	 0.000000 	           0.000
 	 2 	 -17736.7277494980 	 135	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 3 	 -17736.7228785920 	 17	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 4 	 -17736.7311013720 	 11	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 5 	 -17736.7316933650 	 22	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 6 	 -17736.7300886980 	 28	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 7 	 -17736.7219448460 	 15	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 8 	 -17736.7287112870 	 10	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 9 	 -17736.7327139090 	 11	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 10 	 -17736.6925225610 	 144	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 11 	 -17736.7204288820 	 96	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 12 	 -17736.7327956000 	 14	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 13 	 -17736.7374151320 	 11	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 14 	 -17736.7409872140 	 10	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
# Done!
