# File Starting Date: 02 05 2020 TIME 08:55:25.5
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OH--OV-F-H2O2/0Ce3+-1OH-/option1
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OH--OV-F-H2O2/0Ce3+-1OH-/option1/CeO2-04.out
# TOLDEE: 6
# MAXCYCLE: 1024
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_G.(0.00045) | RMS_G.(0.00030) | MAX_D.(0.00180) | RMS_D.(0.00120) | TRUST_R.(4.00000)
 	 90 	 -17735.3745619470 	 5	 0.003599 NO	 0.000843 NO	 0.037700 NO	 0.005143 NO	           0.083
 	 91 	 -17735.3746355400 	 7	 0.004063 NO	 0.000727 NO	 0.026632 NO	 0.005143 NO	           0.000
 	 92 	 -17735.3746938750 	 7	 0.003023 NO	 0.000523 NO	 0.036946 NO	 0.005143 NO	           0.083
 	 93 	 -17735.3748186840 	 7	 0.001309 NO	 0.000329 NO	 0.062695 NO	 0.010287 NO	           0.166
 	 94 	 -17735.3749708870 	 8	 0.001501 NO	 0.000301 NO	 0.129984 NO	 0.020573 NO	           0.332
 	 95 	 -17735.3751153990 	 8	 0.002513 NO	 0.000602 NO	 0.106656 NO	 0.016716 NO	           0.665
 	 96 	 -17735.3751430970 	 9	 0.005649 NO	 0.000854 NO	 0.031392 NO	 0.004179 NO	           0.068
 	 97 	 -17735.3752652820 	 7	 0.002950 NO	 0.000534 NO	 0.061442 NO	 0.008358 NO	           0.135
 	 98 	 -17735.3754014210 	 8	 0.002567 NO	 0.000373 NO	 0.118241 NO	 0.016716 NO	           0.270
 	 99 	 -17735.3755569450 	 8	 0.003717 NO	 0.000582 NO	 0.212889 NO	 0.027451 NO	           0.540
 	 100 	 -17735.3758850890 	 9	 0.004877 NO	 0.000860 NO	 0.525914 NO	 0.066866 NO	           1.080
xxx 	 101 	 -17735.3757377850 	 11	 0.004877 NO	 0.000860 NO	 0.138561 NO	 0.016716 NO	           0.270
 	 102 	 -17735.3762594790 	 9	 0.005858 NO	 0.000810 NO	 0.293808 NO	 0.033433 NO	           0.540
 	 103 	 -17735.3771192230 	 9	 0.011119 NO	 0.001653 NO	 0.571561 NO	 0.066866 NO	           1.080
 	 104 	 -17735.3760561740 	 11	 0.034019 NO	 0.004073 NO	 0.445556 NO	 0.066866 NO	           0.000
