# File Starting Date: 07 06 2020 TIME 14:50:35.9
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OH--OV-F-H2O2/1Ce3+-1OH-/option2
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OH--OV-F-H2O2/1Ce3+-1OH-/option2/CeO2-04.out
# TOLDEE: 4
# LEVSHIFT USED
# MAXCYCLE: 1024
# FMIXING: 95
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_G.(0.00045) | RMS_G.(0.00030) | MAX_D.(0.00180) | RMS_D.(0.00120) | TRUST_R.(4.00000)
 	 1 	 -17735.4394618300 	 73	 0.010704 NO	 0.003162 NO	 0.000000 	 0.000000 	           0.000
 	 2 	 -17735.4453871940 	 11	 0.013660 NO	 0.003402 NO	 0.398259 NO	 0.061898 NO	           1.000
xxx 	 3 	 -17735.4354335000 	 30	 0.013660 NO	 0.003402 NO	 0.097653 NO	 0.015475 NO	           0.250
 	 4 	 -17735.4473098520 	 17	 0.017682 NO	 0.003162 NO	 0.075799 NO	 0.015475 NO	           0.250
 	 5 	 -17735.4527527140 	 31	 0.007842 NO	 0.001968 NO	 0.174369 NO	 0.030949 NO	           0.500
 	 6 	 -17735.4538724340 	 11	 0.007570 NO	 0.002033 NO	 0.207766 NO	 0.030949 NO	           0.500
 	 7 	 -17735.4552563180 	 30	 0.010489 NO	 0.002167 NO	 0.180916 NO	 0.030949 NO	           0.500
 	 8 	 -17735.4568209010 	 26	 0.006596 NO	 0.001784 NO	 0.206257 NO	 0.030949 NO	           0.500
xxx 	 9 	 -17735.4566334570 	 11	 0.006596 NO	 0.001784 NO	 0.048457 NO	 0.007737 NO	           0.125
 	 10 	 -17735.4569048060 	 30	 0.009390 NO	 0.002049 NO	 0.008502 NO	 0.001934 NO	           0.031
 	 11 	 -17735.4580935960 	 25	 0.006163 NO	 0.001495 NO	 0.020035 NO	 0.003869 NO	           0.062
 	 12 	 -17735.4585113560 	 10	 0.006084 NO	 0.001350 NO	 0.019321 NO	 0.003869 NO	           0.062
xxx 	 13 	 -17735.4577107630 	 11	 0.006084 NO	 0.001350 NO	 0.003898 NO	 0.000967 YES	           0.016
xxx 	 14 	 -17735.4519506050 	 18	 0.006084 NO	 0.001350 NO	 0.001069 YES	 0.000242 YES	           0.004
xxx 	 15 	 -17735.4499439370 	 15	 0.006084 NO	 0.001350 NO	 0.000271 YES	 0.000060 YES	           0.001
xxx 	 16 	 -17735.4536953130 	 18	 0.006084 NO	 0.001350 NO	 0.000068 YES	 0.000015 YES	           0.000
xxx 	 17 	 -17735.4545702270 	 28	 0.006084 NO	 0.001350 NO	 0.000017 YES	 0.000004 YES	           0.000
xxx 	 18 	 -17735.4558360300 	 17	 0.006084 NO	 0.001350 NO	 0.000004 YES	 0.000001 YES	           0.000
xxx 	 19 	 -17735.4567161170 	 13	 0.006084 NO	 0.001350 NO	 0.000277 YES	 0.000062 YES	           0.000
 	 20 	 -17735.4581958120 	 33	 0.006701 NO	 0.001458 NO	 0.000300 YES	 0.000062 YES	           0.000
xxx 	 21 	 -17735.4518006710 	 13	 0.006701 NO	 0.001458 NO	 0.000069 YES	 0.000015 YES	           0.000
xxx 	 22 	 -17735.4508606580 	 19	 0.006701 NO	 0.001458 NO	 0.000018 YES	 0.000004 YES	           0.000
xxx 	 23 	 -17735.4517236290 	 15	 0.006701 NO	 0.001458 NO	 0.000004 YES	 0.000001 YES	           0.000
# Done!
