# File Starting Date: 14 02 2020 TIME 16:34:47.6
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OH--OV-F-O2-/option2
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OH--OV-F-O2-/option2/CeO2-19.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 166 	 -17734.8865392840 	 6	 	 0.006206 NO	 	 0.001170 NO	 	 0.037037 NO	 	 0.008562 NO	           0.137
 	 167 	 -17734.8868707810 	 12	 	 0.004955 NO	 	 0.000862 NO	 	 0.110211 NO	 	 0.017124 NO	           0.273
 	 168 	 -17734.8873078680 	 13	 	 0.003220 NO	 	 0.000611 NO	 	 0.077870 NO	 	 0.013228 NO	           0.547
 	 169 	 -17734.8875969960 	 17	 	 0.002515 NO	 	 0.000526 NO	 	 0.119659 NO	 	 0.017467 NO	           1.090
 	 170 	 -17734.8877347770 	 12	 	 0.002113 NO	 	 0.000535 NO	 	 0.037102 NO	 	 0.008207 NO	           2.190
 	 171 	 -17734.8878326200 	 11	 	 0.001867 NO	 	 0.000383 NO	 	 0.047093 NO	 	 0.008824 NO	           4.000
 	 172 	 -17734.8879042760 	 20	 	 0.001726 NO	 	 0.000392 NO	 	 0.027576 NO	 	 0.005959 NO	           4.000
 	 173 	 -17734.8879680480 	 14	 	 0.001059 NO	 	 0.000245 YES	 	 0.025785 NO	 	 0.004977 NO	           4.000
 	 174 	 -17734.8880124050 	 15	 	 0.001060 NO	 	 0.000201 YES	 	 0.028972 NO	 	 0.005606 NO	           4.000
 	 175 	 -17734.8880486140 	 15	 	 0.001092 NO	 	 0.000218 YES	 	 0.030577 NO	 	 0.005354 NO	           4.000
 	 176 	 -17734.8880716470 	 7	 	 0.000911 NO	 	 0.000198 YES	 	 0.033861 NO	 	 0.005846 NO	           4.000
 	 177 	 -17734.8880995010 	 13	 	 0.000773 NO	 	 0.000193 YES	 	 0.039795 NO	 	 0.005701 NO	           4.000
 	 178 	 -17734.8881291350 	 11	 	 0.001157 NO	 	 0.000205 YES	 	 0.070375 NO	 	 0.009281 NO	           4.000
 	 179 	 -17734.8881669440 	 12	 	 0.000777 NO	 	 0.000213 YES	 	 0.107256 NO	 	 0.014764 NO	           4.000
 	 180 	 -17734.8882163880 	 13	 	 0.000986 NO	 	 0.000246 YES	 	 0.231923 NO	 	 0.033209 NO	           4.000
 	 181 	 -17734.8883216250 	 16	 	 0.003645 NO	 	 0.000499 NO	 	 0.989398 NO	 	 0.141702 NO	           4.000
# Done!
