# File Starting Date: 15 04 2020 TIME 00:04:34.5
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OH--OV-F-O2-/option2
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OH--OV-F-O2-/option2/CeO2-26.out
# TOLDEE: 6
# MAXCYCLE: 1024
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_G.(0.00045) | RMS_G.(0.00030) | MAX_D.(0.00180) | RMS_D.(0.00120) | TRUST_R.(4.00000)
 	 44 	 -17734.8217038690 	 30	 0.012869 NO	 0.003774 NO	 0.024125 NO	 0.003914 NO	           0.062
 	 45 	 -17734.8399070990 	 44	 0.010072 NO	 0.001823 NO	 0.024001 NO	 0.003914 NO	           0.000
 	 46 	 -17734.8404634100 	 16	 0.006732 NO	 0.001701 NO	 0.051470 NO	 0.007828 NO	           0.125
 	 47 	 -17734.8413222890 	 23	 0.006192 NO	 0.001669 NO	 0.086841 NO	 0.015656 NO	           0.250
 	 48 	 -17734.8437599970 	 38	 0.012620 NO	 0.002038 NO	 0.282984 NO	 0.031311 NO	           0.500
xxx 	 49 	 -17734.8277342980 	 22	 0.012620 NO	 0.002038 NO	 0.064070 NO	 0.007828 NO	           0.125
 	 50 	 -17734.8453112020 	 23	 0.007994 NO	 0.001451 NO	 0.049241 NO	 0.007828 NO	           0.125
 	 51 	 -17734.8460080280 	 13	 0.006088 NO	 0.001212 NO	 0.045336 NO	 0.007828 NO	           0.125
 	 52 	 -17734.8466961630 	 10	 0.008103 NO	 0.001416 NO	 0.082871 NO	 0.015656 NO	           0.250
 	 53 	 -17734.8476746030 	 11	 0.009914 NO	 0.001613 NO	 0.182887 NO	 0.031311 NO	           0.500
 	 54 	 -17734.8483206650 	 18	 0.017819 NO	 0.002849 NO	 0.166205 NO	 0.031311 NO	           0.500
 	 55 	 -17734.8498142080 	 11	 0.015193 NO	 0.002529 NO	 0.284561 NO	 0.062622 NO	           1.000
xxx 	 56 	 -17734.8485850960 	 27	 0.015193 NO	 0.002529 NO	 0.048715 NO	 0.015656 NO	           0.250
 	 57 	 -17734.8511255010 	 11	 0.012506 NO	 0.001598 NO	 0.110988 NO	 0.015656 NO	           0.250
 	 58 	 -17734.8526346400 	 34	 0.004935 NO	 0.001200 NO	 0.197443 NO	 0.031311 NO	           0.500
 	 59 	 -17734.8547902130 	 16	 0.007556 NO	 0.001599 NO	 0.347408 NO	 0.062622 NO	           1.000
xxx 	 60 	 -17734.8533649160 	 14	 0.007556 NO	 0.001599 NO	 0.099204 NO	 0.015656 NO	           0.250
 	 61 	 -17734.8556728000 	 34	 0.008982 NO	 0.001563 NO	 0.119620 NO	 0.031311 NO	           0.500
 	 62 	 -17734.8567968930 	 13	 0.012081 NO	 0.001972 NO	 0.173127 NO	 0.031311 NO	           0.500
 	 63 	 -17734.8574277830 	 13	 0.007500 NO	 0.001501 NO	 0.191732 NO	 0.031311 NO	           0.500
 	 64 	 -17734.8580613210 	 13	 0.013998 NO	 0.001925 NO	 0.172335 NO	 0.031311 NO	           0.500
 	 65 	 -17734.8587563380 	 15	 0.008507 NO	 0.001776 NO	 0.152655 NO	 0.031311 NO	           0.500
xxx 	 66 	 -17734.8586835180 	 13	 0.008507 NO	 0.001776 NO	 0.040801 NO	 0.007828 NO	           0.125
 	 67 	 -17734.8593423110 	 11	 0.009355 NO	 0.001558 NO	 0.037384 NO	 0.007828 NO	           0.125
 	 68 	 -17734.8597615680 	 10	 0.005400 NO	 0.001179 NO	 0.070526 NO	 0.015656 NO	           0.250
 	 69 	 -17734.8603076540 	 11	 0.004929 NO	 0.000947 NO	 0.134848 NO	 0.031311 NO	           0.500
 	 70 	 -17734.8606488830 	 12	 0.004991 NO	 0.001059 NO	 0.155727 NO	 0.031311 NO	           0.500
 	 71 	 -17734.8609336550 	 11	 0.006104 NO	 0.001179 NO	 0.169492 NO	 0.029845 NO	           0.500
 	 72 	 -17734.8604653330 	 17	 0.009319 NO	 0.001770 NO	 0.142354 NO	 0.031311 NO	           0.000
# Done!
