# File Starting Date: 29 01 2020 TIME 13:50:41.1
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OH--OV-UF-O2-/option1
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OH--OV-UF-O2-/option1/CeO2-09.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 1 	 -17733.3502107630 	 23	 	 0.004437 NO	 	 0.000732 NO	 	 0.000000 	 	 0.000000 	           0.000
xxx 	 2 	 -17734.8252351090 	 473	 	 0.004437 NO	 	 0.000732 NO	 	 0.065051 NO	 	 0.007828 NO	           0.125
xxx 	 3 	 -17734.8273809450 	 18	 	 0.004437 NO	 	 0.000732 NO	 	 0.015442 NO	 	 0.001957 NO	           0.031
xxx 	 4 	 -17734.8277466080 	 11	 	 0.004437 NO	 	 0.000732 NO	 	 0.003508 NO	 	 0.000489 YES	           0.008
xxx 	 5 	 -17734.8278087990 	 11	 	 0.004437 NO	 	 0.000732 NO	 	 0.000718 YES	 	 0.000122 YES	           0.002
xxx 	 6 	 -17734.8277847460 	 14	 	 0.004437 NO	 	 0.000732 NO	 	 0.000141 YES	 	 0.000031 YES	           0.000
xxx 	 7 	 -17734.8278287900 	 15	 	 0.004437 NO	 	 0.000732 NO	 	 0.000037 YES	 	 0.000008 YES	           0.000
xxx 	 8 	 -17734.8277942380 	 16	 	 0.004437 NO	 	 0.000732 NO	 	 0.000011 YES	 	 0.000002 YES	           0.000
xxx 	 9 	 -17734.8278516890 	 15	 	 0.004437 NO	 	 0.000732 NO	 	 0.000327 YES	 	 0.000063 YES	           0.000
 	 10 	 -17734.8278116890 	 17	 	 0.004042 NO	 	 0.000701 NO	 	 0.000357 YES	 	 0.000063 YES	           0.000
 	 11 	 -17734.8278851850 	 15	 	 0.003803 NO	 	 0.000950 NO	 	 0.000494 YES	 	 0.000125 YES	           0.002
xxx 	 12 	 -17734.8278541110 	 17	 	 0.003803 NO	 	 0.000950 NO	 	 0.000158 YES	 	 0.000031 YES	           0.000
 	 13 	 -17734.8279052680 	 15	 	 0.003669 NO	 	 0.000940 NO	 	 0.000299 YES	 	 0.000063 YES	           0.001
xxx 	 14 	 -17734.8278611210 	 17	 	 0.003669 NO	 	 0.000940 NO	 	 0.000078 YES	 	 0.000016 YES	           0.000
 	 15 	 -17734.8279199990 	 15	 	 0.003618 NO	 	 0.000936 NO	 	 0.000187 YES	 	 0.000031 YES	           0.000
# Done!
