# Starting Date: Sun Aug 18 09:38:59 AEST 2019
# Termination Date: Sun Aug 18 09:39:00 AEST 2019
# Time Used: 00:01
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-9H2O/H2O-H2O2-OV
# File: CeO2-27.out
# CYCLE NUMBER | TOTAL ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200)
 	 1 	 -17658.0914510970 	 6	 	 0.000732 NO	 	 0.000223 YES	 	 0.000000 	 	 0.000000 
xxx 	 2 	 -17659.5618720120 	 18	 	 0.000732 NO	 	 0.000223 YES	 	 0.071200 NO	 	 0.007874 NO
xxx 	 3 	 -17659.5646965540 	 14	 	 0.000732 NO	 	 0.000223 YES	 	 0.017334 NO	 	 0.001969 NO
 	 4 	 -17659.5648015080 	 10	 	 0.000687 NO	 	 0.000182 YES	 	 0.011254 NO	 	 0.001969 NO
 	 5 	 -17659.5648089690 	 10	 	 0.000571 NO	 	 0.000147 YES	 	 0.010013 NO	 	 0.001969 NO
 	 6 	 -17659.5648140590 	 10	 	 0.000457 NO	 	 0.000127 YES	 	 0.009359 NO	 	 0.001969 NO
 	 7 	 -17659.5648184440 	 10	 	 0.000713 NO	 	 0.000132 YES	 	 0.013193 NO	 	 0.001969 NO
 	 8 	 -17659.5648200300 	 10	 	 0.000552 NO	 	 0.000115 YES	 	 0.002155 NO	 	 0.000492 YES
 	 9 	 -17659.5648242540 	 7	 	 0.000413 YES	 	 0.000097 YES	 	 0.007058 NO	 	 0.000984 YES
 	 10 	 -17659.5648280420 	 7	 	 0.000308 YES	 	 0.000064 YES	 	 0.005131 NO	 	 0.000984 YES
 	 11 	 -17659.5648315680 	 7	 	 0.000263 YES	 	 0.000049 YES	 	 0.012656 NO	 	 0.001969 NO
 	 12 	 -17659.5648322550 	 10	 	 0.000316 YES	 	 0.000066 YES	 	 0.002317 NO	 	 0.000492 YES
 	 13 	 -17659.5648348290 	 7	 	 0.000253 YES	 	 0.000057 YES	 	 0.005504 NO	 	 0.000984 YES
 	 14 	 -17659.5648373270 	 7	 	 0.000169 YES	 	 0.000037 YES	 	 0.013037 NO	 	 0.001969 NO
xxx 	 15 	 -17659.5648367000 	 9	 	 0.000169 YES	 	 0.000037 YES	 	 0.003049 NO	 	 0.000492 YES
 	 16 	 -17659.5648396270 	 7	 	 0.000157 YES	 	 0.000031 YES	 	 0.007012 NO	 	 0.000984 YES
 	 17 	 -17659.5648404440 	 9	 	 0.000119 YES	 	 0.000027 YES	 	 0.006399 NO	 	 0.000984 YES
 	 18 	 -17659.5648410570 	 7	 	 0.000117 YES	 	 0.000029 YES	 	 0.004686 NO	 	 0.000984 YES
 	 19 	 -17659.5648426160 	 9	 	 0.000092 YES	 	 0.000025 YES	 	 0.009569 NO	 	 0.001969 NO
xxx 	 20 	 -17659.5648412360 	 10	 	 0.000092 YES	 	 0.000025 YES	 	 0.002109 NO	 	 0.000492 YES
 	 21 	 -17659.5648448730 	 10	 	 0.000091 YES	 	 0.000022 YES	 	 0.004430 NO	 	 0.000984 YES
 	 22 	 -17659.5648452540 	 7	 	 0.000096 YES	 	 0.000023 YES	 	 0.005606 NO	 	 0.000984 YES
 	 23 	 -17659.5648456560 	 8	 	 0.000108 YES	 	 0.000025 YES	 	 0.005739 NO	 	 0.000984 YES
 	 24 	 -17659.5648468450 	 8	 	 0.000106 YES	 	 0.000022 YES	 	 0.016832 NO	 	 0.001969 NO
xxx 	 25 	 -17659.5648441760 	 10	 	 0.000106 YES	 	 0.000022 YES	 	 0.003624 NO	 	 0.000492 YES
 	 26 	 -17659.5648487080 	 9	 	 0.000047 YES	 	 0.000013 YES	 	 0.005948 NO	 	 0.000984 YES
 	 27 	 -17659.5648493720 	 9	 	 0.000137 YES	 	 0.000024 YES	 	 0.012349 NO	 	 0.001969 NO
# Done!
